date,Open,High,Low,Close,Volume
2020-05-08 13:27:00,0.6744,0.6767,0.6742,0.6753,51221.0
2020-05-08 13:28:00,0.6768,0.69,0.6754,0.69,228879.0
2020-05-08 13:29:00,0.6883,0.7,0.688,0.6948,184189.0
2020-05-08 13:30:00,0.693,0.698,0.69,0.6976,103456.0
2020-05-08 13:31:00,0.6981,0.7111,0.694,0.6941,324266.0
2020-05-08 13:32:00,0.6972,0.6972,0.69,0.6938,119605.0
2020-05-08 13:33:00,0.6943,0.7007,0.6688,0.6703,285917.0
2020-05-08 13:34:00,0.6655,0.68,0.665,0.6774,101639.0
2020-05-08 13:35:00,0.6793,0.688,0.675,0.688,124414.0
2020-05-08 13:36:00,0.69,0.69,0.69,0.69,67104.0
2020-05-08 13:37:00,0.688,0.69,0.6865,0.69,116143.0
2020-05-08 13:38:00,0.69,0.6948,0.6899,0.691,51407.0
2020-05-08 13:39:00,0.6911,0.693,0.69,0.69,56740.0
2020-05-08 13:40:00,0.6915,0.693,0.675,0.675,172811.0
2020-05-08 13:41:00,0.68,0.69,0.6799,0.68,304606.0
2020-05-08 13:42:00,0.6803,0.6865,0.6583,0.6663,367825.0
2020-05-08 13:43:00,0.663,0.666,0.6535,0.6592,111117.0
2020-05-08 13:44:00,0.6593,0.66,0.655,0.66,49015.0
2020-05-08 13:45:00,0.66,0.67,0.66,0.66,107611.0
2020-05-08 13:46:00,0.66,0.6656,0.6565,0.663,89896.0
2020-05-08 13:47:00,0.6657,0.6657,0.663,0.6655,25748.0
2020-05-08 13:48:00,0.6656,0.67,0.6655,0.667,47840.0
2020-05-08 13:49:00,0.667,0.67,0.666,0.6689,29351.0
2020-05-08 13:50:00,0.6689,0.669,0.6646,0.6647,140541.0
2020-05-08 13:51:00,0.6646,0.6646,0.6551,0.6594,83941.0
2020-05-08 13:52:00,0.6594,0.6594,0.6551,0.659,14260.0
2020-05-08 13:53:00,0.6552,0.6592,0.6552,0.6591,35166.0
2020-05-08 13:54:00,0.66,0.67,0.66,0.67,49195.0
2020-05-08 13:55:00,0.6657,0.6669,0.665,0.6655,18412.0
2020-05-08 13:56:00,0.6655,0.6658,0.6645,0.6652,12835.0
2020-05-08 13:57:00,0.6652,0.6652,0.66,0.6601,27354.0
2020-05-08 13:58:00,0.6612,0.6613,0.6592,0.6593,64736.0
2020-05-08 13:59:00,0.6592,0.6593,0.645,0.6474,199358.0
2020-05-08 14:00:00,0.65,0.65,0.64,0.65,245556.0
2020-05-08 14:01:00,0.645,0.65,0.645,0.648,70680.0
2020-05-08 14:02:00,0.649,0.649,0.647,0.6481,34759.0
2020-05-08 14:03:00,0.6481,0.6546,0.6395,0.6471,107031.0
2020-05-08 14:04:00,0.6475,0.6475,0.6359,0.64,40896.0
2020-05-08 14:05:00,0.64,0.645,0.6359,0.644,73264.0
2020-05-08 14:06:00,0.64,0.645,0.64,0.645,64491.0
2020-05-08 14:07:00,0.645,0.6549,0.645,0.654,78239.0
2020-05-08 14:08:00,0.653,0.655,0.6522,0.655,93596.0
2020-05-08 14:09:00,0.6549,0.667,0.6541,0.667,195045.0
2020-05-08 14:10:00,0.6625,0.667,0.6605,0.6616,50082.0
2020-05-08 14:11:00,0.6616,0.675,0.6616,0.674,87368.0
2020-05-08 14:12:00,0.6741,0.6808,0.6687,0.6741,89449.0
2020-05-08 14:13:00,0.674,0.6749,0.67,0.6749,43633.0
2020-05-08 14:14:00,0.6749,0.679,0.6742,0.6788,107491.0
2020-05-08 14:15:00,0.6788,0.6887,0.6786,0.6887,97148.0
2020-05-08 14:16:00,0.6895,0.695,0.688,0.6927,199892.0
2020-05-08 14:17:00,0.7,0.71,0.7,0.7,327367.0
2020-05-08 14:18:00,0.6992,0.7098,0.6787,0.6871,439258.0
2020-05-08 14:19:00,0.687,0.7035,0.6857,0.6931,110379.0
2020-05-08 14:20:00,0.6983,0.7055,0.6914,0.6941,142076.0
2020-05-08 14:21:00,0.6929,0.6977,0.6875,0.6972,124119.0
2020-05-08 14:22:00,0.6969,0.7161,0.6939,0.7141,357592.0
2020-05-08 14:23:00,0.7161,0.7298,0.71,0.719,394913.0
2020-05-08 14:24:00,0.7155,0.72,0.7101,0.719,222366.0
2020-05-08 14:25:00,0.7151,0.72,0.71,0.7164,246300.0
2020-05-08 14:26:00,0.72,0.72,0.7,0.71,303298.0
2020-05-08 14:27:00,0.706,0.7064,0.7,0.7001,209403.0
2020-05-08 14:28:00,0.7001,0.7055,0.6954,0.7001,77062.0
2020-05-08 14:29:00,0.6957,0.7125,0.6894,0.6978,211183.0
2020-05-08 14:30:00,0.6975,0.7048,0.695,0.7048,93676.0
2020-05-08 14:31:00,0.7048,0.708,0.7008,0.7066,61288.0
2020-05-08 14:32:00,0.7079,0.723,0.7052,0.7173,291407.0
2020-05-08 14:33:00,0.7139,0.72,0.7103,0.72,105097.0
2020-05-08 14:34:00,0.7229,0.7298,0.7207,0.7296,269249.0
2020-05-08 14:35:00,0.73,0.75,0.73,0.74,364327.0
2020-05-08 14:36:00,0.739,0.7391,0.735,0.7391,192681.0
2020-05-08 14:37:00,0.7391,0.749,0.7204,0.7206,528644.0
2020-05-08 14:38:00,0.7205,0.7394,0.7205,0.739,122966.0
2020-05-08 14:39:00,0.7356,0.739,0.73,0.7388,154384.0
2020-05-08 14:40:00,0.737,0.737,0.73,0.7339,97405.0
2020-05-08 14:41:00,0.7343,0.7421,0.7219,0.7328,291693.0
2020-05-08 14:42:00,0.7332,0.7417,0.7272,0.7301,103129.0
2020-05-08 14:43:00,0.7248,0.7299,0.7231,0.728,100645.0
2020-05-08 14:44:00,0.73,0.75,0.73,0.74,261008.0
2020-05-08 14:45:00,0.745,0.7593,0.7396,0.7541,380136.0
2020-05-08 14:46:00,0.7593,0.7754,0.7559,0.7695,390626.0
2020-05-08 14:47:00,0.7695,0.7765,0.7621,0.7652,403438.0
2020-05-08 14:48:00,0.765,0.791,0.7625,0.7909,609334.0
2020-05-08 14:49:00,0.7911,0.815,0.7868,0.8001,749495.0
2020-05-08 14:50:00,0.8004,0.8138,0.7875,0.7889,644300.0
2020-05-08 14:51:00,0.79,0.805,0.785,0.8015,497088.0
2020-05-08 14:52:00,0.8049,0.815,0.8,0.8119,534501.0
2020-05-08 14:53:00,0.81,0.82,0.81,0.81,475729.0
2020-05-08 14:54:00,0.81,0.815,0.8091,0.815,369746.0
2020-05-08 14:55:00,0.8133,0.8264,0.7761,0.7802,1079050.0
